Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
2023-01-01,1.091824689,128024.89,28700.98,81687.57,20.43,17615.92,,,,conventional,Albany
2023-01-01,2.067483216,2237.52,120.34,425.63,2.04,1689.52,,,,organic,Albany
2023-01-01,0.915235728,723751.85,415298.85,234933.53,233.84,73285.63,,,,conventional,Atlanta
2023-01-01,0.833448122,53216.62,1708.12,18599.7,0.0,32908.79,,,,organic,Atlanta
2023-01-01,1.311804625,769116.53,122554.95,316483.18,1662.49,328390.63,,,,conventional,BaltimoreWashington
2023-01-01,1.79203364,39472.99,475.74,8479.24,2.3,30515.71,,,,organic,BaltimoreWashington
2023-01-01,0.871061471,317957.95,226820.65,33761.84,61.95,57313.52,,,,conventional,BirminghamMontgomery
2023-01-01,0.911702121,12527.2,30.77,3318.41,0.0,9178.02,,,,organic,BirminghamMontgomery
2023-01-01,0.915878873,123577.25,67107.29,40179.44,195.73,16094.8,,,,conventional,Boise
2023-01-01,1.746878377,5091.48,758.51,3369.86,0.0,963.11,,,,organic,Boise
2023-01-01,1.372906427,464542.06,43616.01,319846.94,86.94,100987.44,,,,conventional,Boston
2023-01-01,1.799477875,21885.15,160.55,2544.76,0.0,19179.84,,,,organic,Boston
2023-01-01,1.096880352,156669.33,32344.16,48800.12,1104.48,74348.33,,,,conventional,BuffaloRochester
2023-01-01,1.881837758,7233.28,544.14,122.89,0.0,6566.26,,,,organic,BuffaloRochester
2023-01-01,1.168053934,5978815.62,3126017.36,566413.24,1084794.62,1201590.41,,,,conventional,California
2023-01-01,1.827464887,295496.52,123403.29,12492.58,1.45,159599.2,,,,organic,California
2023-01-01,1.153965401,355880.23,157167.71,59347.72,810.13,138542.5,,,,conventional,Charlotte
2023-01-01,1.753511587,16450.48,473.4,2851.6,2.21,13123.26,,,,organic,Charlotte
2023-01-01,0.767914275,1326188.51,779079.75,255207.78,86507.1,205393.88,,,,conventional,Chicago
2023-01-01,1.656985185,27431.5,5691.68,12096.06,0.0,9643.76,,,,organic,Chicago
2023-01-01,0.932278334,301039.08,79052.94,172781.06,14703.54,34501.53,,,,conventional,CincinnatiDayton
2023-01-01,1.812945104,6817.11,14.62,5110.29,0.0,1692.2,,,,organic,CincinnatiDayton
2023-01-01,0.945433494,251802.17,74568.44,112831.47,12274.58,52127.68,,,,conventional,Columbus
2023-01-01,1.883098162,6574.21,932.42,3363.36,0.0,2278.43,,,,organic,Columbus
2023-01-01,0.702268825,1472099.78,512056.6,293718.48,32009.51,634315.19,,,,conventional,DallasFtWorth
2023-01-01,1.334002098,31763.2,13796.09,942.74,0.0,17024.37,,,,organic,DallasFtWorth
2023-01-01,0.847344895,970968.95,319880.56,394749.28,19750.16,236588.96,,,,conventional,Denver
2023-01-01,1.481213675,23273.54,19470.74,612.15,0.0,3190.64,,,,organic,Denver
2023-01-01,0.890405261,462961.32,84100.97,231640.04,76079.12,71141.18,,,,conventional,Detroit
2023-01-01,1.503286776,10723.0,176.67,4541.78,0.0,6004.56,,,,organic,Detroit
2023-01-01,0.96300165,203845.45,34796.15,65237.75,76228.28,27583.26,,,,conventional,GrandRapids
2023-01-01,1.513842193,4539.35,45.23,754.57,0.0,3739.55,,,,organic,GrandRapids
2023-01-01,0.855410365,4569615.62,1806291.01,1522535.24,463942.37,776846.99,,,,conventional,GreatLakes
2023-01-01,1.638405892,102588.93,14484.71,37690.74,0.0,50413.48,,,,organic,GreatLakes
2023-01-01,1.077536418,328217.31,122779.11,99497.14,11098.12,94838.25,,,,conventional,HarrisburgScranton
2023-01-01,1.58326127,11466.14,288.47,415.79,0.0,10761.87,,,,organic,HarrisburgScranton
2023-01-01,1.209953727,338229.96,15604.94,269934.57,48.65,52637.4,,,,conventional,HartfordSpringfield
2023-01-01,1.899097772,14385.08,592.21,6246.35,0.0,7546.53,,,,organic,HartfordSpringfield
